board_id	board_name	post_id	title	author	date	replies	views	意图分类	价格描述	数值价格	物品名称	价格类型
5	小版张专栏	19	投资资讯网交易频道交易流程管理办法	一尘	2024/1/20 13:39:00		3	其他			未识别物品	N/A
5	小版张专栏	5	打包出23年24年代册小版全各1套	壹叶知秋	2025/5/15 16:11:35		0	出售			年代册小版	出售价
5	小版张专栏	5	低售 03年04年05年06年09年12年20年21年小版	大连小郑	2025/5/15 15:36:56		1	出售			年小版	出售价
5	小版张专栏	5	出四轮蛇赠版全部尾8	潜水的鱼-03	2025/5/15 15:37:13		8	出售			出四轮蛇赠版	出售价
5	小版张专栏	5	售03年到22年小版册，三轮生肖小版，大版，小本，赠版	XYF1963	2025/5/15 15:30:28		6	出售			年小版	出售价
5	小版张专栏	5	售2011年建党90周年小版和2016年红楼梦二小版	李德龙	2025/5/15 15:27:33		0	出售			周年小版	出售价
5	小版张专栏	5	===出，四轮狗，标准标百，均无47===	黄俊曙	2025/5/15 15:28:17		2	出售			未识别物品	出售价
5	小版张专栏	5	=====低价，出四轮猴, 赠版靓号=====	黄俊曙	2025/5/15 15:28:05		2	出售			赠版	出售价
5	小版张专栏	5	===出，2013毛泽东小版标准百连 08901J===	黄俊曙	2025/5/15 15:27:53		2	出售			毛泽东小版	出售价
5	小版张专栏	5	收四轮生肖小版和赠送版原包去皮带十字腰带	李德龙	2025/5/15 15:27:08		0	收购			收四轮生肖小版和赠送版	收购价
5	小版张专栏	5	出孝道小版，亚展小版，建军小版，儿童游戏小版，张骞小版	陈立新	2025/5/15 15:24:40		0	出售			出孝道小版	出售价
5	小版张专栏	5	出售 四轮龙赠送版	郑州小朱	2025/5/15 15:22:30		4	出售			四轮龙赠送版	出售价
5	小版张专栏	5	出四轮蛇小版	孟哥de店	2025/5/15 15:00:58		2	出售			出四轮蛇小版	出售价
5	小版张专栏	5	出售四轮生肖龙赠送版40版	李美玉	2025/5/15 14:54:29		1	出售			出售四轮生肖龙赠送版	出售价
5	小版张专栏	5	售2011年建党90周年小版和2016年红楼梦二小版	李德龙	2025/5/15 14:43:13		12	出售			周年小版	出售价
5	小版张专栏	5	收四轮生肖小版和赠送版原包去皮带十字腰带	李德龙	2025/5/15 14:43:29		12	收购			收四轮生肖小版和赠送版	收购价
5	小版张专栏	5	出售各年小版一些	郑玉璋	2025/5/15 14:31:39		5	出售			出售各年小版	出售价
5	小版张专栏	5	售蛇赠版30版无3.4.5.7尾号901一930标30连	麦田守望着	2025/5/15 14:30:11		2	出售			售蛇赠版	出售价
5	小版张专栏	5	丝绸三朱仙镇.....毛泽东小版..诸葛亮小版	山西大杨	2025/5/15 14:24:03		2	其他			毛泽东小版	N/A
5	小版张专栏	5	16年猴 17年鸡★★★★★★★	徐天麟	2025/5/15 14:23:55		5	其他			未识别物品	N/A
5	小版张专栏	5	总公司生肖小版折★★★★★★★	徐天麟	2025/5/15 14:23:32		2	其他			总公司生肖小版	N/A
5	小版张专栏	5	带友售23年小版7全	朋友金牛	2025/5/15 14:15:59		3	出售			年小版	出售价
5	小版张专栏	5	收数藏蛇小板	源源的快乐生活	2025/5/15 14:11:23		0	收购			未识别物品	收购价
5	小版张专栏	5	出售24年小版封神、四轮龙、龙赠送、邓....二、秦岭各一些、船舶二[长]	瑞鹤仙	2025/5/15 14:10:58		3	出售			年小版	出售价
5	小版张专栏	5	一起打包出小版一些（有几个是双联型张和大版）	洋葱3583	2025/5/15 14:10:22		1	出售			一起打包出小版	出售价
5	小版张专栏	5	出售07年石湾小版！！！	无锡长城	2025/5/15 14:03:16		2	出售			年石湾小版	出售价
5	小版张专栏	5	售三四轮生肖、恐龙、张骞、红楼梦二	奇正邮社	2025/5/15 14:00:29		4	出售			未识别物品	出售价
5	小版张专栏	5	卖：2019全年小版11全	方正1	2025/5/15 13:52:06		4	出售			全年小版	出售价
5	小版张专栏	5	出售     2003毛泽东小版	望江南888	2025/5/15 13:44:59		1	出售			毛泽东小版	出售价
5	小版张专栏	5	出售三轮蛇小版	北京马强	2025/5/15 13:48:49		2	出售			出售三轮蛇小版	出售价
5	小版张专栏	5	售20，21年小版带册2套========	重庆施卫龙	2025/5/15 13:41:15		8	出售			年小版	出售价
5	小版张专栏	5	售13年人大小版800版======	重庆施卫龙	2025/5/15 13:39:56		1	出售			年人大小版	出售价
5	小版张专栏	5	售三轮赠送版12全5套========	重庆施卫龙	2025/5/15 13:40:21		7	出售			售三轮赠送版	出售价
5	小版张专栏	5	出售四轮虎赠送版	邮友158	2025/5/15 13:37:23		4	出售			出售四轮虎赠送版	出售价
5	小版张专栏	5	★★低出四轮赠送龙2050版★★	linyin858	2025/5/15 13:34:54		3	出售			未识别物品	出售价
5	小版张专栏	5	低卖2006到2023年预定全年小版	美猴王1	2025/5/15 13:30:14		36	出售			年预定全年小版	出售价
5	小版张专栏	5	非典	常州吴成	2025/5/15 13:27:59		3	其他			未识别物品	N/A
5	小版张专栏	5	低售成语一小版	难得糊涂	2025/5/15 13:23:21		0	出售			低售成语一小版	出售价
5	小版张专栏	5	卖总公司龙小版折一摇号折5个	花好月圆	2025/5/15 13:21:57		0	出售			卖总公司龙小版	出售价
5	小版张专栏	5	数藏蛇小版5个(原封)	梅太郎	2025/5/15 13:12:22		0	其他			数藏蛇小版	N/A
5	小版张专栏	5	四轮蛇大小版、大小版折、三地小全张	飞燕传书	2025/5/15 13:08:43		2	其他			四轮蛇大小版	N/A
5	小版张专栏	5	三轮马小版	飞燕传书	2025/5/15 12:54:16		0	其他			三轮马小版	N/A
5	小版张专栏	5	数藏蛇小版6个(原封)	谢璠	2025/5/15 12:51:16		2	其他			数藏蛇小版	N/A
5	小版张专栏	5	收购  端午节 太行山 世博园小版	北京李伟东	2025/5/15 12:39:59		3	收购			世博园小版	收购价
5	小版张专栏	5	高价求2021年23年24年小版，尾号8，含豹子号等另加钱	永丰168	2025/5/15 12:34:59		6	收购			年小版	收购价
5	小版张专栏	5	十二生肖小版	xjcjmjm	2025/5/15 12:34:32		11	其他			十二生肖小版	N/A
5	小版张专栏	5	售四轮蛇赠送版	zhangfly	2025/5/15 12:29:24		2	出售			售四轮蛇赠送版	出售价
5	小版张专栏	5	售红楼梦一小版500版	孟学力	2025/5/15 12:23:19		2	出售			售红楼梦一小版	出售价
5	小版张专栏	5	售17年小版13全	笑笑顽童	2025/5/15 12:24:31		1	出售			年小版	出售价
5	小版张专栏	5	出总公司狗小版折16元猪小版折16元牛....折26元虎小版折25元[长]	上海红双喜	2025/5/15 12:14:40		93	出售	16元	16	出总公司狗小版	出售价
5	小版张专栏	5	438元包邮便宜处理一张非典版票	吉林生生哥	2025/5/15 12:07:18		0	其他	438元	438	元包邮便宜处理一张非典版	N/A
5	小版张专栏	5	收购四轮蛇赠、四轮龙赠各200版	sxmaxuqian	2025/5/15 12:07:03		0	收购			未识别物品	收购价
5	小版张专栏	5	出售多种小版	周文波	2025/5/15 12:00:59		0	出售			出售多种小版	出售价
5	小版张专栏	5	售土楼昭陵六骏海西中秋18大散板，，	烟台山	2025/5/15 11:51:51		0	出售			未识别物品	出售价
5	小版张专栏	5	售四轮蛇，福禄寿喜，拜年小版	章国忠	2025/5/15 11:47:16		0	出售			拜年小版	出售价
5	小版张专栏	5	6元/版出售四轮蛇赠送版200版	陆明	2025/5/15 11:35:11		1	出售	6元	6	版出售四轮蛇赠送版	出售价
5	小版张专栏	5	5.13出售凤翔小版	岁月无语	2025/5/15 11:35:44		5	出售	13元	13	出售凤翔小版	出售价
5	小版张专栏	5	5.14██收购编年小 一版起收更新价格2000-2024	岁月无语	2025/5/15 11:35:17		4	收购			一版	收购价
5	小版张专栏	5	兑奖蛇马羊建党国旗国徽拜年飞船图书生肖奥运04-19年小版	菡萏513	2025/5/15 11:25:19		2	其他			年小版	N/A
5	小版张专栏	5	21年.22年.23年，24年小版，一套包邮	邮票钱币缘	2025/5/15 11:24:24		16	其他			年小版	N/A
5	小版张专栏	5	售07.---.22年预定小版	岁月如梭匆匆	2025/5/15 11:20:50		18	出售			年预定小版	出售价
5	小版张专栏	5	售19.22年小版北方册	岁月如梭匆匆	2025/5/15 11:20:38		18	出售			年小版	出售价
5	小版张专栏	5	售05年小版32全2套	岁月如梭匆匆	2025/5/15 11:20:13		3	出售			年小版	出售价
5	小版张专栏	5	售2020年小版20套	岁月如梭匆匆	2025/5/15 11:20:28		19	出售			年小版	出售价
5	小版张专栏	5	出售四轮蛇赠送版200版	周峰剑	2025/5/15 11:18:08		12	出售			出售四轮蛇赠送版	出售价
5	小版张专栏	5	25年蛇小版95版售	邮票钱币缘	2025/5/15 11:17:40		16	出售			年蛇小版	出售价
5	小版张专栏	5	惜售！原包去皮绝美品《元宵节小版》1原....适合收藏投资！详见图）[长]	越来越好	2025/5/15 11:12:01		4	收购			元宵节小版	收购价
5	小版张专栏	5	惜售！错版《环境日小版》（详见图！“印....票面上”）【珍藏品！】[长]	越来越好	2025/5/15 11:12:14		3	出售			错版	出售价
5	小版张专栏	5	售赠送版	《邮缘》	2025/5/15 11:12:20		0	出售			售赠送版	出售价
5	小版张专栏	5	售双联张	《邮缘》	2025/5/15 11:05:14		0	出售			售双联张	出售价
5	小版张专栏	5	售小版张	《邮缘》	2025/5/15 11:00:35		0	出售			售小版张	出售价
5	小版张专栏	5	售三轮赠送版5套，每套70元（少鸡）	萧一峰	2025/5/15 10:56:47		3	出售	70元	70	售三轮赠送版	出售价
5	小版张专栏	5	售三轮赠送版12全12套，每套79元	萧一峰	2025/5/15 10:56:28		3	出售	79元	79	售三轮赠送版	出售价
5	小版张专栏	5	卖原包去皮金砖小版4包800版	鞍山平头	2025/5/15 10:55:40		19	出售			卖原包去皮金砖小版	出售价
5	小版张专栏	5	出05-23年小版	襄阳藏珍阁	2025/5/15 10:49:34		0	出售			年小版	出售价
5	小版张专栏	5	代友收购数藏龙小版30版=======	金道红	2025/5/15 10:50:12		2	收购			代友收购数藏龙小版	收购价
5	小版张专栏	5	★★★★★★★少量 收购 神舟飞船 小版	长江7号	2025/5/15 10:49:31		8	收购			小版	收购价
5	小版张专栏	5	一版起收购各种零散小版	XYF1963	2025/5/15 10:48:08		0	收购			一版起收购各种零散小版	收购价
5	小版张专栏	5	售2005年奥运吉祥物小版	《邮缘》	2025/5/15 10:46:28		0	出售			年奥运吉祥物小版	出售价
5	小版张专栏	5	先款收2003年到14年15年16年1....8年19年24预定小版[长]	XYF1963	2025/5/15 10:45:54		0	收购			预定小版	收购价
5	小版张专栏	5	售赠送版	《邮缘》	2025/5/15 10:44:32		3	出售			售赠送版	出售价
5	小版张专栏	5	售小版张	《邮缘》	2025/5/15 10:42:01		0	出售			售小版张	出售价
5	小版张专栏	5	卖四轮蛇赠送版68版	符朝华	2025/5/15 10:36:09		3	出售			卖四轮蛇赠送版	出售价
5	小版张专栏	5	售2005奥运吉祥物小小版	《邮缘》	2025/5/15 10:31:46		1	出售			奥运吉祥物小小版	出售价
5	小版张专栏	5	售小版张	《邮缘》	2025/5/15 10:29:35		1	出售			售小版张	出售价
5	小版张专栏	5	出小版吉祥号	襄阳藏珍阁	2025/5/15 10:34:17		7	出售			出小版	出售价
5	小版张专栏	5	出03到24年小版各1-2册（套）	曹州老李	2025/5/15 10:32:15		5	出售			年小版	出售价
5	小版张专栏	5	低出2004年小版12全10套	曹州老李	2025/5/15 10:31:04		0	出售			年小版	出售价
5	小版张专栏	5	售双联张	《邮缘》	2025/5/15 10:27:20		0	出售			售双联张	出售价
5	小版张专栏	5	300万元求改革开放精品编年小大版票92年等，共39年见说明	永丰168	2025/5/15 10:14:06		19	收购			万元求改革开放精品编年小大版	收购价
5	小版张专栏	5	出售  2020年 2021年 8全小版！！！！！	渤海邮币社	2025/5/15 10:12:22		0	出售			全小版	出售价
5	小版张专栏	5	处理一点小版	建华邮币卡	2025/5/15 10:12:04		3	其他			处理一点小版	N/A
5	小版张专栏	5	=====13元卖：故宫小版409版=====	白银三千两	2025/5/15 10:09:48		0	出售	13元	13	故宫小版	出售价
5	小版张专栏	5	售 靓号 2016年 小版 16全20....全部小版后两位末位同号[长]	跃马集邮社	2025/5/15 10:08:38		0	出售			小版	出售价
5	小版张专栏	5	售01年，02年，03年二轮生肖兑奖折子，	双喜888	2025/5/15 10:06:29		1	出售			未识别物品	出售价
5	小版张专栏	5	售三轮送赠版	双喜888	2025/5/15 10:03:55		0	出售			售三轮送赠版	出售价
5	小版张专栏	5	补缺二轮蛇，马，羊兑奖，三轮小版，赠送版	赵春光	2025/5/15 9:55:39		1	其他			三轮小版	N/A
5	小版张专栏	5	QQQQQQ------卖四轮牛小版	赵珂	2025/5/15 9:55:13		17	出售			卖四轮牛小版	出售价
5	小版张专栏	5	售进博会丝绸，上合丝绸，芍药，武汉世界邮展	周文波	2025/5/15 9:52:35		5	出售			未识别物品	出售价
5	小版张专栏	5	出售2024年小版7全11套	金属狂人	2025/5/15 9:48:42		2	出售			年小版	出售价
5	小版张专栏	5	售西游记，红楼梦，行书，船舶，建国，十....，一带一路，上合等小版[长]	XYF1963	2025/5/15 9:45:43		3	出售			上合等小版	出售价
5	小版张专栏	5	售三，四轮生肖小版，赠版	XYF1963	2025/5/15 9:44:57		6	出售			四轮生肖小版	出售价
5	小版张专栏	5	邓小平110周年小版	飞燕传书	2025/5/15 9:45:19		5	其他			周年小版	N/A
5	小版张专栏	5	出拜年系列四轮鸡狗诗词歌赋小版	襄阳藏珍阁	2025/5/15 9:38:29		2	出售			出拜年系列四轮鸡狗诗词歌赋小版	出售价
5	小版张专栏	5	打包一些四位数豹子号	湘南邮币社	2025/5/15 9:33:46		15	其他			未识别物品	N/A
5	小版张专栏	5	售刘海粟小版漏编号有意着电联	湘南邮币社	2025/5/15 9:34:13		7	出售			售刘海粟小版	出售价
5	小版张专栏	5	请朋友确认	桃桃礼品	2025/5/15 9:22:04		1	其他			未识别物品	N/A
5	小版张专栏	5	四轮龙大小版、大小版折、三地小全张	飞燕传书	2025/5/15 9:24:29		3	其他			四轮龙大小版	N/A
5	小版张专栏	5	售三轮生肖小版，赠版12全各4套++++++=	王阿大	2025/5/15 9:20:11		7	出售			售三轮生肖小版	出售价
5	小版张专栏	5	售四轮猴小版，鸡小版折++++++++	王阿大	2025/5/15 9:18:36		5	出售			售四轮猴小版	出售价
5	小版张专栏	5	出三轮羊总公司小版折，好品6.5	易勤666	2025/5/15 9:20:34		6	出售			出三轮羊总公司小版	出售价
5	小版张专栏	5	售2004小版邮票2每套200元	园丁9898	2025/5/15 9:16:14		148	出售	200元	200	小版	出售价
5	小版张专栏	5	代友售23，24预订小版各一套，合售160元	园丁9898	2025/5/15 9:13:42		73	出售	160元	160	预订小版	出售价
5	小版张专栏	5	售几本09.11.14.15年北方小版册	大连小老大	2025/5/15 9:11:55		13	出售			年北方小版	出售价
5	小版张专栏	5	售红楼梦一小版张版连号	武汉老肖	2025/5/15 9:03:29		0	出售			售红楼梦一小版张版	出售价
5	小版张专栏	5	=====13元收购：足球小版500版=====	白银三千两	2025/5/15 9:00:40		2	收购	13元	13	足球小版	收购价
5	小版张专栏	5	卖 冬奥会场馆小版	北京李伟东	2025/5/15 8:58:29		1	出售			冬奥会场馆小版	出售价
5	小版张专栏	5	出三轮龙小版，福禄寿喜	西北王文厂	2025/5/15 8:42:51		11	出售			出三轮龙小版	出售价
5	小版张专栏	5	出四轮蛇赠送版	西北王文厂	2025/5/15 8:38:13		3	出售			出四轮蛇赠送版	出售价
5	小版张专栏	5	售四轮生肖龙、蛇赠狮子、豹子号	zhongguo3456257	2025/5/15 8:29:37		0	出售			未识别物品	出售价
